gvkeyFR,gvkey,year1,yearN
002545,002545,1969,1985
002546,002546,1967,1976
002547,002547,1959,2020
002553,002553,1967,2000
002555,002555,1981,2012
002556,002556,1973,2019
002557,002557,1974,1988
002562,010846,1950,2020
002563,002563,1973,1977
002574,002574,1957,2020
002576,002576,1979,1987
002577,002577,1960,2020
002578,002578,1979,2020
002581,002581,1984,2020
002589,002589,1980,2009
002593,002593,1961,2020
002595,002595,1980,2013
002596,002596,1973,2020
002597,002597,1983,2008
002600,002600,1960,1982
002602,002602,1982,2006
002605,002605,1963,1994
002614,002614,1982,1990
002615,002615,1982,2020
002616,002616,1982,2002
002617,002617,1959,1979
002625,007985,1950,2020
002628,002628,1974,2020
002630,002630,1950,1990
002632,066439,1992,1997
002634,007561,1973,2005
002635,002635,1973,1987
002639,002639,1973,1989
002643,002643,1974,1986
002644,002644,1971,2006
002645,002645,1983,1985
002646,002646,1983,1999
002653,002653,1964,1989
002658,002658,1966,1977
002662,002662,1959,2007
002664,002664,1963,1981
002673,002673,1957,1970
002674,002674,1960,1994
002675,002675,1960,2020
002682,002682,1957,1970
002696,002696,1977,2020
002697,002697,1964,2012
002698,002698,1960,2020
002699,002699,1963,1970
002703,002703,1960,2020
002710,002710,1972,2020
002712,002712,1963,1998
002718,002718,1962,1980
002719,002719,1973,1980
002720,002720,1964,1976
002721,002721,1974,2020
002724,002724,1964,1968
002727,002727,1975,1987
002728,002728,1971,1978
002729,002729,1955,1994
002731,016243,1983,2007
002731,013888,2011,2020
002732,002732,1983,1995
002738,002738,1960,1973
002741,002741,1967,1977
002742,002742,1967,2003
002743,002743,1965,1978
002744,002744,1971,1975
002745,006387,1950,1981
002746,002746,1973,1977
002747,002747,1980,1990
002749,002749,1966,1984
002755,002755,1980,1984
002758,002758,1967,1986
002764,025966,1991,1995
002764,031549,1996,2006
002764,007241,2007,2020
002765,002765,1966,1983
002770,002770,1950,1987
002771,002771,1960,2020
002774,002774,1980,1989
002775,016603,1982,2020
002783,004093,1951,2020
002787,002787,1950,2020
002789,010983,1950,2019
002789,036191,2020,2020
002792,029100,1988,1997
002794,002794,1967,1995
002797,002797,1952,2001
002799,002799,1974,1979
002800,002800,1984,1997
002804,002804,1974,1983
002812,002812,1960,2012
002812A,002812,1960,1990
002812A,061780,1991,1999
002817,002817,1950,2020
002822,002822,1963,1980
002824,002824,1950,1989
002827,125434,1998,2002
002827,162254,2003,2020
002829,002829,1982,2020
002830,002830,1966,1982
002831,002831,1984,2010
002834,002834,1950,1981
002838,002838,1978,1985
002845,002845,1968,2009
002846,002846,1982,1998
002853,002853,1961,1989
002857,002857,1966,2009
002858,010860,1951,2020
002859,002859,1951,2015
002864,013436,1985,1999
002865,002865,1974,2017
002866,002866,1974,1995
002872,002872,1968,1998
002874,002874,1973,1989
002878,002878,1950,1971
002879,002879,1973,1989
002884,002884,1971,2020
002888,002888,1984,2011
002889,002889,1973,2005
002890,002890,1981,1989
002891,002891,1982,1999
002892,002892,1950,1975
002893,002893,1950,1990
002897,002897,1967,2013
002898,005046,1954,1991
002898,010519,1992,2020
002899,002899,1965,1987
002902,002902,1972,1991
002903,002903,1983,2008
002908,002908,1981,2004
002917,002917,1950,1999
002920,002920,1950,1988
002934,002934,1966,1983
002943,002943,1958,1994
002946,002946,1974,1985
002950,002950,1969,2009
002951,002951,1983,2007
002952,002952,1960,1984
002953,002953,1977,2015
002954,002954,1969,1977
002957,002957,1974,1986
002958,002958,1973,1981
002959,002959,1975,1983
002960,002960,1971,2020
002963,002963,1977,1997
002965,002965,1982,2000
002969,002969,1974,1982
002970,002970,1973,1984
002971,002971,1971,1981
002972,002972,1983,1984
002973,002973,1950,1969
002975,002975,1978,2000
002984,002984,1967,1975
002985,002985,1972,1979
002989,002574,1957,2020
002990,002990,1982,2020
002991,002991,1950,2020
002998,002998,1950,1985
002999,002999,1967,2020
003007,003007,1983,2020
003011,003011,1982,2005
003012,003012,1966,1974
003013,003013,1955,1998
003014,003014,1973,1984
003015,003015,1950,2000
003017,003017,1960,1985
003020,003020,1980,1989
003021,003021,1967,1972
003024,028034,1991,2020
003026,003026,1974,2020
003030,003030,1969,1988
003031,003031,1973,2013
003034,003034,1978,1985
003035,003035,1957,1970
003036,135865,1997,2005
003040,003040,1984,1995
003041,023569,2010,2018
003041,179657,2019,2020
003046,003046,1960,1977
003047,001724,1981,1991
003048,003048,1981,2007
003051,003051,1962,1995
003053,003053,1982,1997
003054,003054,1962,2008
003060,003060,1961,1979
003063,003063,1982,2005
003067,003067,1950,1986
003070,003070,1958,1989
003088,003088,1960,1970
003091,005959,1950,2006
003093,003093,1963,2016
003096,003096,1969,1975
003098,003098,1960,1986
003099,003099,1974,2001
003101,003101,1961,1983
003102,003102,1974,1986
003105,003105,1983,2020
003107,003107,1950,2020
003108,003108,1951,1996
003110,003110,1967,1984
003112,003112,1964,1968
003113,003113,1950,1969
003115,003115,1979,1989
003116,003116,1981,2010
003117,003117,1973,1988
003118,003118,1966,1972
003120,003120,1960,1985
003121,003121,1966,2020
003123,003123,1963,1984
003125,003125,1950,1984
003126,003126,1968,2009
003129,003129,1983,2014
003131,003131,1973,1985
003133,003133,1979,1987
003135,003135,1972,1989
003137,003137,1971,1976
003144,003144,1950,2020
003146,003146,1973,1986
003148,003148,1981,1994
003149,003149,1966,1976
003154,003154,1961,1976
003156,003156,1974,2007
003157,003157,1969,2020
003158,003158,1960,2020
003159,003159,1973,1978
003163,003163,1974,1979
003164,003164,1960,2004
003166,003166,1974,1979
003167,024969,1989,1998
003168,003168,1973,1982
003169,003169,2009,2018
003170,003170,1950,2020
003171,003171,1980,2008
003186,003186,1959,1992
003187,003187,1973,1983
003191,003191,1981,1983
003198,003198,1973,2020
003202,003202,1960,1972
003203,003203,1973,2020
003206,007974,1951,2020
003208,003208,1950,1981
003216,003216,1980,1999
003226,003226,1974,2020
003228,003228,1979,1994
003229,003229,1978,2004
003230,003230,1970,2015
003239,003239,1962,1994
003243,003243,1978,2020
003243A,003243,1978,2000
003243A,062689,2001,2020
003244,003244,1973,1991
003246,003246,1959,2020
003248,003248,1961,1999
003249,003249,1950,1975
003253,003253,1964,1993
003265,003265,1963,2006
003267,003267,1983,1989
003273,003273,1967,1999
003275,003275,1981,2020
003282,005606,1950,2020
003283,003283,1960,1984
003285,003285,1973,1980
003286,003286,1963,1970
003293,003293,1974,1983
003296,003296,1973,1984
003297,003297,1959,2006
003300,023543,1986,1993
003300,024608,1994,2002
003300,011399,2003,2020
003304,003304,1970,1994
003305,003305,1968,1987
003306,003306,1971,1993
003310,003310,1980,2018
003311,003311,1981,2004
003317,003317,1979,1997
003320,003320,1978,1987
003321,003321,1973,1986
003330,003330,1973,1983
003331,003331,1973,1979
003333,003333,1971,2005
003336,003336,1963,2020
003338,003338,1973,1993
003342,003342,1974,2020
003344,003344,1974,1987
003345,003345,1973,1998
003346,003346,1959,1985
003347,003347,1966,1970
003353,003353,1966,1972
003358,003358,1971,2020
003359,003214,1979,1986
003360,003360,1969,1978
003362,003362,1961,2020
003366,003366,1966,2002
003368,009191,1977,2003
003368,019349,2005,2007
003369,003369,1980,2020
003370,003370,1984,2002
003372,003372,1964,2001
003373,003373,1982,2002
003378,003378,1973,1982
003379,003380,1980,1985
003382,003382,2010,2020
003386,031479,1993,2009
003393,003393,1973,1999
003395,003395,1978,1992
003396,003396,1960,1988
003398,114303,1993,2001
003399,003399,1973,2012
003401,003401,1951,1986
003405,003405,1960,1988
003411,063499,1991,1997
003411,212773,2008,2020
003413,003413,1951,2020
003416,003416,1950,2014
003421,003421,1974,1989
003422,003422,1962,1999
003424,003424,1962,2020
003426,003426,1981,1996
003427,003427,1969,1981
003428,003428,1974,1984
003432,003432,1979,1992
003434,003434,1979,1997
003439,003439,1951,2020
003445,003445,1964,1975
003450,003450,1973,1980
003452,010484,1972,2009
003452,010795,2010,2020
003453,003453,1959,1984
003454,003454,1964,1967
003459,003459,1971,1993
003460,003460,1950,1983
003470,003470,1950,1984
003471,003470,1950,1984
003475,003475,1973,1986
003477,003477,1972,1980
003480,003480,1959,2008
003486,031636,1993,1999
003486,151948,2000,2001
003486,007906,2003,2020
003488,003488,1962,1984
003489,003489,1950,1984
003492,003492,1959,1976
003493,003493,1962,1983
