gvkey_primary,gvkey_secondary,year,source,type
001988,002338,2016,Subsidiary Data,Merger or Acquisition
002367,002365,1974,Clean Name Duplicates,Subsidiary Listing
002369,002368,1979,CRSP/Compustat,Relisting
012202,002379,1985,CRSP/Compustat,Merger or Acquisition
013757,002398,1983,Clean Name Duplicates,Relisting
001932,002405,1975,General Research,Relisting
006799,002424,1998,Clean Name Duplicates,Merger or Acquisition
017616,002449,1998,SDC Platinum,Merger or Acquisition
001300,002473,1981,General Research,Merger or Acquisition
002176,002490,2009,General Research,Merger or Acquisition
024184,002514,1991,CRSP/Compustat,Relisting
064549,002527,1996,Clean Name Duplicates,Relisting
010846,002562,2000,General Research,Merger or Acquisition
003650,002599,1986,SDC Platinum,Merger or Acquisition
007985,002625,2000,Subsidiary Data,Merger or Acquisition
066439,002632,1992,Clean Name Duplicates,Relisting
007561,002634,1997,SDC Platinum,Merger or Acquisition
063477,002694,1960,General Research,Subsidiary Listing
016243,002731,2005,Subsidiary Data,Merger or Acquisition
006387,002745,1977,General Research,Merger or Acquisition
025966,002764,1991,General Research,Relisting
016603,002775,1984,General Research,Merger or Acquisition
004093,002783,2012,General Research,Merger or Acquisition
036191,002789,2015,General Research,Relisting
010983,002789,1978,General Research,Merger or Acquisition
029100,002792,1988,General Research,Relisting
030383,002805,1989,General Research,Subsidiary Listing
010443,002805,1983,General Research,Subsidiary Listing
002805,002806,1983,General Research,Subsidiary Listing
010443,002806,1967,General Research,Merger or Acquisition
125434,002827,1998,General Research,Relisting
010860,002858,1997,General Research,Merger or Acquisition
013436,002864,1987,SDC Platinum,Merger or Acquisition
010519,002898,1992,General Research,Merger or Acquisition
005046,002898,1985,General Research,Merger or Acquisition
003011,002901,1991,SDC Platinum,Merger or Acquisition
014153,002931,1985,Clean Name Duplicates,Relisting
002931,002932,1974,Clean Name Duplicates,Relisting
002989,002977,1977,Clean Name Duplicates,Subsidiary Listing
004961,002978,1975,General Research,Subsidiary Listing
004961,002979,1975,General Research,Subsidiary Listing
004961,002981,1975,General Research,Subsidiary Listing
002574,002989,1980,Clean Name Duplicates,Merger or Acquisition
007139,002997,1988,General Research,Merger or Acquisition
017828,003022,1998,General Research,Relisting
028034,003024,2015,General Research,Merger or Acquisition
010860,003033,2003,SDC Platinum,Merger or Acquisition
135865,003036,2004,Clean Name Duplicates,Merger or Acquisition
030865,003039,1981,General Research,Relisting
023569,003041,2010,Clean Name Duplicates,Relisting
001724,003047,1990,General Research,Merger or Acquisition
002252,003049,1988,SDC Platinum,Merger or Acquisition
003243,003066,1998,General Research,Merger or Acquisition
135484,003078,2000,CRSP/Compustat,Relisting
003091,003091,2007,General Research,Merger or Acquisition
005959,003091,1995,General Research,Merger or Acquisition
002943,003092,1987,SDC Platinum,Merger or Acquisition
004242,003130,2001,General Research,Merger or Acquisition
024969,003167,1989,ABS,Relisting
004675,003172,1999,SDC Platinum,Merger or Acquisition
007974,003206,2000,SDC Platinum,Merger or Acquisition
003255,003255,1994,General Research,Subsidiary Spin-Off
031596,003255,1951,General Research,Subsidiary Listing
014250,003268,1988,CRSP/Compustat,Relisting
005606,003282,2002,General Research,Merger or Acquisition
023543,003300,1990,CRSP/Compustat,Merger or Acquisition
062673,003307,1990,General Research,Relisting
002269,003307,1980,General Research,Merger or Acquisition
014537,003309,1987,CRSP/Compustat,Relisting
003214,003359,1979,General Research,Relisting
009191,003368,1995,Subsidiary Data,Merger or Acquisition
003380,003379,1980,Clean Name Duplicates,Relisting
031479,003386,1993,Clean Name Duplicates,Relisting
114303,003398,1993,Clean Name Duplicates,Relisting
063499,003411,1991,Clean Name Duplicates,Relisting
010484,003452,1990,General Research,Merger or Acquisition
003470,003471,1968,Clean Name Duplicates,Merger or Acquisition
002504,003485,1988,General Research,Merger or Acquisition
031636,003486,1993,General Research,Relisting
120193,003500,1998,CRSP/Compustat,Relisting
162940,003505,2004,General Research,Relisting
031448,003568,1993,Clean Name Duplicates,Relisting
016475,003610,1991,General Research,Merger or Acquisition
003497,003613,1981,General Research,Merger or Acquisition
001642,003626,1986,CRSP/Compustat,Relisting
064640,003642,1991,Clean Name Duplicates,Relisting
003662,003661,1960,General Research,Subsidiary Listing
001609,003680,1979,General Research,Merger or Acquisition
011993,003680,1985,General Research,Subsidiary Spin-Off
161965,003711,2004,CRSP/Compustat,Relisting
062898,003733,1993,Clean Name Duplicates,Relisting
005055,003746,1988,SDC Platinum,Merger or Acquisition
003746,003748,1980,General Research,Merger or Acquisition
061386,003758,1990,Clean Name Duplicates,Relisting
013371,003774,1985,General Research,Relisting
032014,003785,2017,CRSP/Compustat,Merger or Acquisition
005250,003812,1979,General Research,Merger or Acquisition
062655,003821,2001,General Research,Merger or Acquisition
009113,003841,1979,General Research,Merger or Acquisition
024283,003841,1989,General Research,Subsidiary Spin-Off
013700,003874,1993,Clean Name Duplicates,Relisting
014652,003881,1987,CRSP/Compustat,Relisting
006424,003888,1996,Subsidiary Data,Merger or Acquisition
005342,003919,1970,Clean Name Duplicates,Merger or Acquisition
004961,003931,1974,General Research,Subsidiary Listing
015037,003940,1989,CRSP/Compustat,Merger or Acquisition
064723,003945,1995,Clean Name Duplicates,Subsidiary Spin-Off
008606,003945,1979,General Research,Merger or Acquisition
003952,003951,1976,Clean Name Duplicates,Relisting
160949,003990,2002,Clean Name Duplicates,Subsidiary Spin-Off
007507,003990,1978,General Research,Merger or Acquisition
010846,003990,1996,General Research,Merger or Acquisition
014932,004011,1985,CRSP/Compustat,Relisting
010097,004012,1980,General Research,Merger or Acquisition
176760,004034,2004,General Research,Relisting
004043,004042,1977,General Research,Relisting
007155,004056,1967,General Research,Merger or Acquisition
034443,004060,2015,General Research,Relisting
034443,004087,2017,General Research,Merger or Acquisition
015751,004134,1984,General Research,Relisting
003229,004169,1991,SDC Platinum,Merger or Acquisition
023221,004176,1990,SDC Platinum,Merger or Acquisition
014570,004178,1983,General Research,Relisting
003734,004204,1998,Subsidiary Data,Merger or Acquisition
003639,004223,2003,SDC Platinum,Merger or Acquisition
004238,004237,1983,Clean Name Duplicates,Relisting
015084,004240,1983,Clean Name Duplicates,Merger or Acquisition
004242,004240,1973,Clean Name Duplicates,Relisting
006310,004242,2011,General Research,Merger or Acquisition
010519,004250,1995,SDC Platinum,Merger or Acquisition
007652,004282,1978,General Research,Merger or Acquisition
001300,004314,1979,General Research,Merger or Acquisition
009177,004348,1995,Clean Name Duplicates,Merger or Acquisition
003918,004372,2005,Subsidiary Data,Merger or Acquisition
016455,004376,1989,CRSP/Compustat,Relisting
013281,004392,1982,CRSP/Compustat,Relisting
023819,004412,1994,SDC Platinum,Merger or Acquisition
139201,004424,2000,CRSP/Compustat,Relisting
002102,004449,1984,General Research,Merger or Acquisition
178971,004449,2007,General Research,Subsidiary Spin-Off
064789,004458,1992,Clean Name Duplicates,Relisting
001408,004508,1979,General Research,Merger or Acquisition
007919,004555,2005,Clean Name Duplicates,Merger or Acquisition
014952,004628,1987,General Research,Relisting
006821,004628,1976,General Research,Merger or Acquisition
001414,004663,1979,General Research,Merger or Acquisition
021491,004663,1989,Clean Name Duplicates,Subsidiary Spin-Off
017269,004682,1997,General Research,Merger or Acquisition
025157,004696,1991,General Research,Relisting
004723,004743,1998,General Research,Merger or Acquisition
007647,004764,2003,General Research,Merger or Acquisition
013706,004770,1983,General Research,Relisting
012136,004781,1996,General Research,Merger or Acquisition
016804,004781,1991,General Research,Merger or Acquisition
004517,004798,1951,General Research,Subsidiary Listing
004093,004799,2012,General Research,Merger or Acquisition
011228,004802,2007,SDC Platinum,Merger or Acquisition
027845,004843,2014,General Research,Merger or Acquisition
062262,004858,1994,CRSP/Compustat,Relisting
014590,004895,1988,General Research,Relisting
066004,004905,1988,Clean Name Duplicates,Subsidiary Spin-Off
005597,004905,1979,General Research,Merger or Acquisition
024226,004920,1987,Clean Name Duplicates,Relisting
011771,004945,1985,Clean Name Duplicates,Relisting
002136,004961,2000,6-character CUSIP,Merger or Acquisition
004961,004961,1974,General Research,Subsidiary Listing
004961,004968,1979,6-character CUSIP,Subsidiary Listing
012075,004984,1984,CRSP/Compustat,Relisting
003497,004995,1979,General Research,Merger or Acquisition
030098,004995,1998,Clean Name Duplicates,Relisting
004995,004995,1993,General Research,Subsidiary Spin-Off
005047,005013,1987,SDC Platinum,Merger or Acquisition
025648,005020,2009,General Research,Merger or Acquisition
007475,005041,1979,General Research,Merger or Acquisition
005055,005055,2007,SDC Platinum,Subsidiary Spin-Off
008543,005055,1985,SDC Platinum,Merger or Acquisition
028119,005056,1993,Clean Name Duplicates,Relisting
026905,005075,1989,General Research,Relisting
007759,005076,1995,Subsidiary Data,Merger or Acquisition
002176,005080,1998,General Research,Merger or Acquisition
004961,005090,1974,6-character CUSIP,Subsidiary Listing
004961,005091,1974,6-character CUSIP,Subsidiary Listing
004961,005092,1974,6-character CUSIP,Subsidiary Listing
004961,005093,1974,6-character CUSIP,Subsidiary Listing
004961,005094,1974,6-character CUSIP,Subsidiary Listing
004961,005095,1974,6-character CUSIP,Subsidiary Listing
004961,005096,1974,6-character CUSIP,Subsidiary Listing
004961,005097,1974,6-character CUSIP,Subsidiary Listing
004961,005098,1974,6-character CUSIP,Subsidiary Listing
004961,005099,1974,6-character CUSIP,Subsidiary Listing
004961,005100,1974,6-character CUSIP,Subsidiary Listing
004961,005101,1975,6-character CUSIP,Subsidiary Listing
004961,005102,1973,6-character CUSIP,Subsidiary Listing
004961,005103,1974,6-character CUSIP,Subsidiary Listing
177206,005129,2006,General Research,Relisting
